County,state,Life Expectancy Rank,Life Expectancy,Tax Rank,Tax Rate,overall rank
Schenectady, NY,1027,78.84186046511627,507,0.08,1534
Hancock, IL,201,81.54285714285713,1334,0.0640686274509804,1535
Morgan, CO,690,79.7125,846,0.0728860294117647,1536
Nantucket, MA,153,81.85,1385,0.0625,1538
Essex, NY,296,81.03846153846153,1242,0.06678658536585366,1538
Hamlin, SD,174,81.7,1366,0.063,1540
Addison, VT,131,82.03999999999999,1409,0.06199999999999999,1540
Tuolumne, CA,797,79.46666666666667,744,0.07499999999999998,1541
Middlesex, MA,171,81.70230263157895,1371,0.0629205298013245,1542
Johnson, NE,1101,78.69999999999999,442,0.0802436440677966,1543
Gunnison, CO,394,80.66666666666667,1151,0.06910000000000001,1545
Fairfax, VA,78,82.6,1467,0.060000000000000005,1545
Richland, ND,288,81.08333333333333,1257,0.0663134328358209,1545
Barton, KS,1227,78.4125,318,0.08330555555555556,1545
Gibson, IN,1159,78.55714285714285,387,0.08178571428571428,1546
Chaffee, CO,600,79.95,947,0.07108333333333333,1547
Colorado, TX,794,79.47999999999999,754,0.07458333333333333,1548
Lewis, MT,853,79.27857142857144,695,0.07565725806451613,1548
Fairfax, VA,81,82.58761467889907,1467,0.060000000000000005,1548
Monroe, IL,595,79.96666666666667,954,0.0708915343915344,1549
Union, SD,395,80.66666666666667,1154,0.06893890909090909,1549
Grand, ND,932,79.06,619,0.07740909090909091,1551
McDonough, IL,1160,78.55555555555556,391,0.08175,1551
Spencer, IN,372,80.74,1180,0.06846153846153848,1552
Windsor, VT,102,82.29375,1451,0.060000000000000005,1553
Platte, MO,733,79.62352941176471,820,0.07338888888888889,1553
McPherson, KS,972,78.97142857142856,582,0.07821428571428571,1554
Lampasas, TX,1197,78.475,357,0.0825,1554
Chittenden, VT,280,81.1258064516129,1275,0.0661111111111111,1555
Sarasota, FL,501,80.29012345679013,1054,0.07,1555
Cache, UT,397,80.65652173913043,1158,0.06880555555555556,1555
Washington, NY,216,81.43529411764706,1341,0.06370809523809524,1557
Grant, SD,200,81.55000000000001,1362,0.06320866141732283,1562
Stephenson, IL,628,79.88461538461539,935,0.07125000000000001,1563
Cameron, PA,805,79.4,764,0.07438,1569
Lawrence, SD,861,79.26,709,0.0754010989010989,1570
Shelby, AL,1259,78.35555555555555,311,0.08355,1570
Guadalupe, TX,937,79.04827586206896,633,0.07703816666666667,1570
Morton, ND,352,80.8,1220,0.0675,1572
Geauga, OH,443,80.5,1130,0.06954545454545455,1573
Fresno, CA,1249,78.38848167539267,324,0.08293181818181819,1573
Dodge, MN,179,81.67999999999999,1395,0.06231250000000001,1574
