State,Area name,no_hs_diploma,hs_diploma,some_college,bachelors_up
CO,Rio Blanco County,8.5,32.9,34.7,23.9
CO,Rio Grande County,10.9,29.2,31.0,28.9
CO,Routt County,3.3,16.2,29.6,50.8
CO,Saguache County,13.3,30.7,30.5,25.5
CO,San Juan County,3.4,29.9,24.5,42.2
CO,San Miguel County,1.7,17.3,21.1,59.9
CO,Sedgwick County,11.3,26.3,40.0,22.4
CO,Summit County,5.5,17.4,24.3,52.8
CO,Teller County,2.2,24.9,35.9,37.0
CO,Washington County,8.6,31.1,38.2,22.1
CO,Weld County,11.9,25.4,33.2,29.5
CO,Yuma County,12.5,28.4,35.6,23.5
CT,Connecticut,8.9,26.1,24.4,40.6
CT,Fairfield County,9.8,20.8,20.1,49.2
CT,Hartford County,9.7,25.8,25.3,39.2
CT,Litchfield County,6.1,29.5,28.2,36.2
CT,Middlesex County,5.0,25.2,26.2,43.6
CT,New Haven County,9.7,29.6,24.1,36.6
CT,New London County,7.0,28.6,29.9,34.6
CT,Tolland County,5.2,26.1,25.9,42.8
CT,Windham County,10.6,34.9,30.1,24.4
DE,Delaware,8.9,30.4,27.0,33.6
DE,Kent County,11.2,32.8,30.3,25.7
DE,New Castle County,7.6,29.3,25.5,37.5
DE,Sussex County,10.4,31.1,28.1,30.4
DC,District of Columbia,7.8,15.5,15.3,61.4
DC,District of Columbia,7.8,15.5,15.3,61.4
FL,Florida,11.0,27.9,29.6,31.5
FL,Alachua County,6.8,20.3,27.7,45.2
FL,Baker County,14.2,43.8,26.9,15.2
FL,Bay County,9.9,28.2,36.3,25.6
FL,Bradford County,18.0,41.5,28.7,11.8
FL,Brevard County,7.5,26.4,34.4,31.7
FL,Broward County,10.0,26.8,28.8,34.3
FL,Calhoun County,22.3,42.2,25.5,10.0
FL,Charlotte County,8.2,33.6,33.6,24.5
FL,Citrus County,10.1,38.1,32.5,19.4
FL,Clay County,8.1,28.4,36.7,26.8
FL,Collier County,10.5,26.3,25.3,37.9
FL,Columbia County,13.5,36.5,34.6,15.4
FL,DeSoto County,25.2,41.9,20.1,12.7
FL,Dixie County,19.1,47.8,22.2,10.8
FL,Duval County,9.5,28.1,30.9,31.5
FL,Escambia County,9.4,27.3,35.9,27.4
FL,Flagler County,7.7,32.1,33.0,27.2
FL,Franklin County,21.1,32.0,25.8,21.1
FL,Gadsden County,19.2,35.6,25.6,19.6
FL,Gilchrist County,13.7,42.1,31.7,12.5
FL,Glades County,30.6,33.1,22.9,13.4
FL,Gulf County,13.3,32.8,30.8,23.1
FL,Hamilton County,24.1,45.7,21.2,9.0
FL,Hardee County,23.8,46.4,19.6,10.2
FL,Hendry County,30.7,35.6,25.3,8.5
FL,Hernando County,11.0,33.6,36.0,19.4
FL,Highlands County,14.1,36.1,31.0,18.8
FL,Hillsborough County,10.8,26.3,27.3,35.5
FL,Holmes County,19.5,45.8,25.2,9.5
FL,Indian River County,8.9,27.7,31.5,32.0
FL,Jackson County,16.6,39.9,30.3,13.2
FL,Jefferson County,16.2,34.7,27.6,21.5
FL,Lafayette County,26.4,42.6,23.7,7.3
FL,Lake County,9.6,31.3,33.8,25.3
FL,Lee County,10.2,30.8,29.9,29.0
FL,Leon County,6.8,19.0,27.1,47.1
FL,Levy County,12.4,42.3,30.1,15.1
FL,Liberty County,23.0,41.4,22.1,13.5
FL,Madison County,19.5,36.8,30.5,13.1
FL,Manatee County,9.7,29.1,29.0,32.2
FL,Marion County,11.6,35.8,31.1,21.4
FL,Martin County,7.9,25.4,32.5,34.2
FL,Miami-Dade County,17.5,26.4,24.3,31.7
FL,Monroe County,7.9,27.8,28.6,35.7
FL,Nassau County,8.5,30.9,28.8,31.8
FL,Okaloosa County,7.1,24.6,35.1,33.2
FL,Okeechobee County,19.4,36.7,27.3,16.6
FL,Orange County,10.5,24.3,29.5,35.7
FL,Osceola County,13.4,29.5,32.8,24.3
FL,Palm Beach County,10.9,23.4,27.7,38.0
FL,Pasco County,9.6,33.4,30.9,26.1
FL,Pinellas County,7.9,26.6,31.5,34.1
FL,Polk County,13.6,33.9,31.5,21.0
FL,Putnam County,18.1,42.0,27.1,12.7
FL,St. Johns County,5.3,21.8,27.0,46.0
FL,St. Lucie County,11.8,31.4,32.6,24.2
FL,Santa Rosa County,7.7,27.2,36.0,29.1
FL,Sarasota County,6.3,26.8,29.6,37.3
FL,Seminole County,5.8,20.6,31.7,41.9
FL,Sumter County,7.8,30.2,29.1,32.8
FL,Suwannee County,17.1,40.6,26.4,16.0
FL,Taylor County,17.8,44.4,25.9,11.9
FL,Union County,22.7,36.9,29.5,11.0
FL,Volusia County,8.9,31.2,34.6,25.4
FL,Wakulla County,11.8,35.7,32.5,20.0
FL,Walton County,8.8,28.3,30.5,32.5
FL,Washington County,16.4,42.1,29.0,12.5
GA,Georgia,11.8,27.2,28.0,33.0
GA,Appling County,22.2,38.4,29.7,9.7
GA,Atkinson County,33.2,33.0,22.9,10.9
GA,Bacon County,16.7,39.4,32.9,11.1
GA,Baker County,16.4,34.1,31.3,18.2
GA,Baldwin County,14.3,32.7,27.7,25.3
GA,Banks County,23.1,31.8,28.6,16.5
GA,Barrow County,12.3,34.4,32.5,20.9
GA,Bartow County,13.4,36.9,29.9,19.8
GA,Ben Hill County,16.2,50.0,22.8,10.9
GA,Berrien County,19.4,40.7,26.8,13.0
GA,Bibb County,13.6,30.7,30.2,25.5
GA,Bleckley County,12.4,34.8,36.8,16.0
GA,Brantley County,18.7,45.3,29.5,6.5
GA,Brooks County,18.4,34.1,30.7,16.8
GA,Bryan County,7.7,27.1,31.7,33.5
GA,Bulloch County,11.8,29.7,30.2,28.3
GA,Burke County,16.1,36.4,32.4,15.1
GA,Butts County,18.8,41.4,27.6,12.2
GA,Calhoun County,23.4,38.2,26.9,11.5
GA,Camden County,8.2,32.3,37.7,21.8
GA,Candler County,21.9,38.3,27.2,12.6
GA,Carroll County,14.4,34.6,29.5,21.5
GA,Catoosa County,10.9,33.0,34.0,22.1
GA,Charlton County,19.2,40.6,28.1,12.1
GA,Chatham County,9.4,24.4,30.7,35.5
GA,Chattahoochee County,4.9,25.1,45.3,24.7
GA,Chattooga County,28.0,36.5,24.7,10.9
GA,Cherokee County,8.1,22.6,31.0,38.4
GA,Clarke County,10.3,19.2,23.5,47.0
GA,Clay County,19.6,30.3,32.1,18.1
GA,Clayton County,14.6,33.1,32.1,20.2
GA,Clinch County,25.8,37.1,26.2,11.0
GA,Cobb County,7.1,18.2,25.7,49.0
GA,Coffee County,22.8,39.2,24.0,14.0
GA,Colquitt County,23.6,38.5,23.5,14.4
GA,Columbia County,7.1,22.7,32.7,37.5
GA,Cook County,18.6,31.9,32.8,16.6
GA,Coweta County,9.5,26.6,30.2,33.7
GA,Crawford County,18.7,39.8,30.1,11.3
GA,Crisp County,16.6,39.8,29.9,13.7
GA,Dade County,17.2,35.2,31.2,16.4
GA,Dawson County,11.6,23.4,32.2,32.8
GA,Decatur County,15.6,35.7,34.2,14.6
GA,DeKalb County,9.3,20.4,24.2,46.1
GA,Dodge County,14.1,41.2,29.1,15.6
GA,Dooly County,20.0,42.8,23.6,13.6
GA,Dougherty County,16.4,29.7,31.2,22.6
GA,Douglas County,11.7,29.4,29.5,29.4
GA,Early County,19.8,38.8,27.0,14.4
GA,Echols County,21.0,45.2,23.6,10.2
GA,Effingham County,9.6,36.4,29.8,24.1
GA,Elbert County,20.8,40.0,26.7,12.6
GA,Emanuel County,19.9,43.2,24.2,12.8
GA,Evans County,22.8,38.2,23.2,15.8
GA,Fannin County,12.4,33.3,30.9,23.5
GA,Fayette County,5.1,20.8,27.8,46.2
GA,Floyd County,16.3,33.0,29.7,20.9
GA,Forsyth County,6.4,14.6,23.1,55.9
GA,Franklin County,18.2,34.7,30.5,16.6
GA,Fulton County,6.8,16.5,20.9,55.9
GA,Gilmer County,15.0,35.3,27.8,22.0
GA,Glascock County,18.2,41.0,29.2,11.6
GA,Glynn County,11.0,27.1,31.5,30.4
GA,Gordon County,23.3,33.9,26.7,16.1
GA,Grady County,20.3,37.5,27.0,15.3
GA,Greene County,12.4,31.0,24.8,31.9
GA,Gwinnett County,12.1,22.3,27.1,38.5
GA,Habersham County,19.5,34.1,23.1,23.3
GA,Hall County,19.4,28.3,27.3,25.1
GA,Hancock County,31.0,36.1,23.7,9.2
GA,Haralson County,16.9,38.8,27.4,16.9
GA,Harris County,6.7,25.6,35.4,32.4
GA,Hart County,17.9,35.9,29.6,16.6
GA,Heard County,18.0,42.1,29.4,10.5
GA,Henry County,7.6,31.4,32.8,28.2
GA,Houston County,7.0,28.2,33.6,31.2
GA,Irwin County,21.1,34.5,27.3,17.1
GA,Jackson County,13.7,32.1,29.1,25.0
GA,Jasper County,12.4,43.7,27.8,16.1
GA,Jeff Davis County,20.5,35.3,31.4,12.8
GA,Jefferson County,20.3,41.3,27.3,11.1
GA,Jenkins County,17.8,44.3,29.9,8.0
GA,Johnson County,24.8,44.7,21.4,9.1
GA,Jones County,8.8,41.2,32.3,17.7
GA,Lamar County,10.3,36.3,35.2,18.2
GA,Lanier County,14.7,43.2,24.9,17.3
GA,Laurens County,13.6,41.7,28.0,16.7
GA,Lee County,8.8,27.4,33.0,30.7
GA,Liberty County,8.6,30.6,41.2,19.7
GA,Lincoln County,16.5,43.7,26.5,13.3
GA,Long County,17.5,35.6,32.2,14.7
GA,Lowndes County,11.1,32.6,29.9,26.4
GA,Lumpkin County,11.6,26.6,29.3,32.5
GA,McDuffie County,15.9,40.2,27.9,16.0
GA,McIntosh County,16.5,36.2,29.1,18.1
GA,Macon County,27.4,36.3,26.1,10.1
GA,Madison County,18.2,32.9,28.5,20.4
GA,Marion County,23.0,36.7,26.0,14.3
GA,Meriwether County,20.6,40.6,27.0,11.8
GA,Miller County,14.9,28.9,36.4,19.8
GA,Mitchell County,17.5,36.2,34.6,11.7
GA,Monroe County,11.3,35.1,24.8,28.8
GA,Montgomery County,19.1,37.5,25.7,17.8
GA,Morgan County,10.5,36.4,26.0,27.2
GA,Murray County,27.2,34.3,28.2,10.2
GA,Muscogee County,11.6,26.8,34.0,27.6
GA,Newton County,11.0,33.5,33.9,21.7
GA,Oconee County,4.0,18.9,25.6,51.6
GA,Oglethorpe County,15.1,37.0,26.6,21.3
GA,Paulding County,9.2,29.9,35.0,25.9
GA,Peach County,15.0,31.6,31.7,21.7
GA,Pickens County,11.9,33.3,30.4,24.5
GA,Pierce County,13.9,42.2,28.4,15.5
GA,Pike County,11.9,36.2,31.5,20.4
GA,Polk County,18.0,41.2,27.5,13.2
GA,Pulaski County,19.6,36.3,31.5,12.5
GA,Putnam County,12.4,35.5,26.2,25.9
GA,Quitman County,31.1,35.4,24.4,9.1
GA,Rabun County,14.4,30.4,29.1,26.1
GA,Randolph County,21.0,37.1,29.6,12.4
GA,Richmond County,13.6,31.9,31.9,22.6
